GCA_000720845.1	117550/2628/2
GCA_000720995.1	117550/2661/2
GCA_000721275.1	117550/2694/2
GCA_000721375.1	117550/2728/2
GCA_000722615.1	117550/2764/2
GCA_000723365.1	117550/2276/2
GCA_000723505.1	117550/2800/2
GCA_000724175.1	117551/1019/2
GCA_000725195.1	117550/169/2
GCA_000733415.1	117550/2811/2
GCA_000733915.1	117550/2833/2
GCA_000737945.1	117551/1038/2
GCA_000737985.1	117550/2843/2
GCA_000739515.1	117551/1057/2
GCA_000739535.1	117551/1074/2
GCA_000739615.1	117550/2863/2
GCA_000739635.1	117550/2873/2
GCA_000739655.1	117550/2895/2
GCA_000741495.1	117550/2907/2
GCA_000743035.1	117550/2929/2
GCA_000743525.1	117551/1094/2
GCA_000745135.1	117550/2938/2
GCA_000746015.1	117550/2956/2
GCA_000746585.2	117550/2965/2
GCA_000746705.1	117549/1341/2
GCA_000746765.1	117549/1351/2
GCA_000747095.1	117551/1113/2
GCA_000747625.2	117551/843/2
GCA_000751295.2	117550/2985/2
GCA_000751355.1	117550/2997/2
GCA_000751555.1	117550/3012/2
GCA_000751595.1	117550/3022/2
GCA_000751835.1	117550/3046/2
GCA_000752035.1	117550/3056/2
GCA_000752215.1	117550/3074/2
GCA_000752675.2	117550/3086/2
GCA_000752995.2	117550/3105/2
GCA_000753435.1	117550/3115/2
GCA_000753455.2	117550/3134/2
GCA_000753575.1	117551/1128/2
GCA_000753945.1	117550/173/2
GCA_000754265.1	117550/3144/2
GCA_000754445.1	117551/1134/2
GCA_000754455.1	117551/1147/2
GCA_000755385.1	117550/3168/2
GCA_000755425.1	117550/3181/2
GCA_000756735.1	117550/3207/2
GCA_000756795.1	117550/3215/2
GCA_000758905.1	117550/3238/2
GCA_000759445.1	117550/3248/2
GCA_000759655.1	117550/3270/2
GCA_000759755.1	117550/2822/2
GCA_000761475.1	117550/2853/2
GCA_000761495.1	117550/2884/2
GCA_000762985.1	117550/2917/2
GCA_000767215.1	117550/2948/2
GCA_000768855.1	117550/2975/2
GCA_000769715.1	117551/1153/2
GCA_000770195.1	117551/1164/2
GCA_000770645.1	117551/1170/2
GCA_000771265.1	117550/3005/2
GCA_000783305.1	117550/3034/2
GCA_000785145.2	117550/175/2
GCA_000786105.1	117551/1180/2
GCA_000789255.1	117549/5294/2
